,date,sentiment,score,low,high,open,close,volume
0,2021-11-01 01:00:00,NEUTRAL,0.0,61299.89,61779.87,61610.94,61333.17,314.25071995
1,2021-11-01 02:00:00,NEUTRAL,0.0,60050.0,61457.28,61333.17,60589.06,1059.93135838
2,2021-11-01 03:00:00,NEUTRAL,0.0,59752.92,60655.0,60590.23,59971.89,621.41987775
3,2021-11-01 05:00:00,POSITIVE,1.0,60492.17,60904.72,60553.1,60641.61,318.17625599
4,2021-11-02 08:00:00,NEGATIVE,1.0,61415.89,61815.5,61575.54,61600.19,205.84818992
5,2021-11-02 13:00:00,NEGATIVE,0.8,63049.99,63500.0,63050.0,63454.33,688.06110209
6,2021-11-03 02:00:00,NEGATIVE,1.0,62800.0,63263.72,63189.97,63201.1,370.74877477
7,2021-11-03 04:00:00,NEGATIVE,1.0,62787.71,63268.37,63265.23,62811.95,334.47221192
8,2021-11-03 11:00:00,POSITIVE,1.0,62961.34,63248.69,63172.74,63167.95,267.12480179
9,2021-11-04 07:00:00,NEGATIVE,1.0,61879.46,62670.84,62501.46,61901.53,363.56228552
10,2021-11-04 16:00:00,NEGATIVE,1.0,60880.38,61365.69,61090.82,61228.83,727.76644843
11,2021-11-05 08:00:00,NEGATIVE,0.6,61979.56,62240.74,62174.33,62238.45,199.83953847
12,2021-11-05 14:00:00,NEUTRAL,0.0,61266.44,61913.93,61836.21,61315.01,588.37165543
13,2021-11-06 00:00:00,NEUTRAL,0.0,60855.29,61337.33,61006.14,61239.54,365.81501972
14,2021-11-06 01:00:00,NEGATIVE,1.0,61023.93,61334.64,61239.55,61237.05,334.01337397
15,2021-11-07 07:00:00,NEUTRAL,0.0,61758.56,61973.84,61860.7,61812.04,197.26141392
16,2021-11-07 08:00:00,NEUTRAL,0.0,61673.18,61882.65,61812.03,61726.1,78.07564688
17,2021-11-10 02:00:00,NEGATIVE,1.0,66792.25,67193.01,67030.78,66814.99,354.91973864
18,2021-11-10 07:00:00,NEUTRAL,0.0,66313.83,66738.46,66527.62,66437.65,276.46415686
19,2021-11-11 04:00:00,NEUTRAL,0.0,64420.52,64822.39,64782.01,64636.34,316.23839831
20,2021-11-11 09:00:00,NEGATIVE,0.6666666666666666,65050.36,65600.0,65395.11,65394.0,267.3846425
21,2021-11-11 21:00:00,NEUTRAL,0.0,64775.0,65105.0,64829.68,65074.06,294.07691601
22,2021-11-13 01:00:00,NEGATIVE,1.0,63851.11,64439.18,64370.23,63870.72,300.69771806
23,2021-11-13 10:00:00,NEUTRAL,0.0,63394.17,63763.76,63473.95,63732.81,196.97607213
24,2021-11-13 19:00:00,NEUTRAL,0.0,63850.0,64222.0,64145.67,63951.58,243.52651002
25,2021-11-14 08:00:00,POSITIVE,1.0,64079.99,64806.67,64639.55,64326.03,321.17952063
26,2021-11-16 13:00:00,NEUTRAL,0.0,60058.39,60786.92,60069.59,60576.77,922.43280342
27,2021-11-16 16:00:00,NEUTRAL,0.0,60405.59,60959.39,60708.42,60692.31,764.72746117
28,2021-11-19 02:00:00,NEGATIVE,0.8,55860.0,56958.28,56705.38,56098.35,1647.99779368
29,2021-11-20 06:00:00,NEUTRAL,0.0,58383.99,58888.0,58473.0,58699.46,187.86090732
30,2021-11-20 09:00:00,NEGATIVE,1.0,58432.65,58719.18,58541.86,58552.24,106.50482679999999
31,2021-11-21 06:00:00,NEUTRAL,0.0,58896.97,59268.89,59065.81,59249.53,145.31591404
32,2021-11-21 11:00:00,NEGATIVE,1.0,58600.0,59390.0,58856.66,58741.88,241.63875393
33,2021-11-22 13:00:00,NEUTRAL,0.0,56641.56,59526.51,57215.87,58915.11,1134.56935344
34,2021-11-23 11:00:00,NEUTRAL,0.0,55896.33,56580.37,56354.9,56138.99,508.92662849
35,2021-11-25 04:00:00,NEUTRAL,0.0,57200.0,57842.75,57772.0,57273.69,481.09846654
36,2021-11-25 09:00:00,NEGATIVE,1.0,57382.17,57830.27,57618.04,57792.89,250.41046572
37,2021-11-26 00:00:00,NEGATIVE,1.0,58697.18,59194.0,58994.72,58745.2,361.398006
38,2021-11-26 02:00:00,NEGATIVE,1.0,58190.0,58686.82,58642.48,58230.7,465.17852063
39,2021-11-26 08:00:00,POSITIVE,1.0,54408.0,57000.0,56993.85,55237.76,2794.59653528
40,2021-11-26 19:00:00,NEGATIVE,0.6,54017.54,54498.19,54103.94,54374.59,925.98877085
41,2021-11-27 03:00:00,POSITIVE,1.0,54316.05,54663.1,54429.78,54392.67,283.36017358
42,2021-11-27 06:00:00,POSITIVE,1.0,54242.4,54523.62,54294.5,54279.2,291.15222656
43,2021-11-27 09:00:00,NEUTRAL,0.0,54611.93,55204.49,55097.97,54623.06,196.53410745
44,2021-11-28 10:00:00,NEGATIVE,1.0,54225.73,54964.75,54370.18,54758.7,162.43235164
45,2021-11-29 09:00:00,NEUTRAL,0.0,56730.0,57462.68,57312.78,56938.31,411.19729735
46,2021-11-30 02:00:00,POSITIVE,1.0,57309.75,57594.44,57342.23,57425.26,437.96498029
47,2021-11-30 04:00:00,POSITIVE,1.0,57042.84,57337.81,57149.33,57260.3,497.79278534
48,2021-11-30 08:00:00,NEGATIVE,1.0,56300.0,57421.05,56563.65,56818.23,581.67495156
49,2021-12-01 01:00:00,NEUTRAL,0.0,56972.97,57620.0,57618.55,57030.83,591.68719996
50,2021-12-01 02:00:00,NEGATIVE,1.0,56841.01,57396.87,57029.79,57307.59,702.56036447
51,2021-12-01 05:00:00,NEUTRAL,0.0,56773.66,57168.02,57085.75,56819.56,613.79878139
